claim_id,parameter_or_claim,value_base,value_low,value_high,unit,source,source_grade,model_use,qualification
CN_WIND_UTIL_2024,national_wind_utilization_rate_2024,0.959,0.959,0.959,fraction,https://www.cpnn.com.cn/news/nytt/202501/t20250127_1769671.html,B,Calibration target for the observed-national reference,National aggregate is not a landing-point guarantee
CN_OFFSHORE_CAP_2024,cumulative_offshore_wind_capacity_2024,41.27,41.27,41.27,GW,https://www.cpnn.com.cn/news/nytt/202501/t20250127_1769671.html,B,Scale and maturity context,Published by China Energy News from NEA data
CN_H2_LONG_DURATION,hydrogen_long_duration_storage_role,1,1,1,policy_finding,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/202203/t20220323_1320038.html,A,Justifies long-duration and seasonal counterfactual,Policy also requires demand-led orderly demonstrations and full-chain safety
CN_H2_DEMAND_LED,hydrogen_demand_and_infrastructure_condition,1,1,1,policy_finding,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/202203/t20220323_1320038.html,A,Requires hydrogen demand and pipeline capacity constraints,Prevents treating all curtailed electricity as saleable hydrogen
CN_UNDERSEA_DC_CAPEX,undersea_compute_project_capex_per_kw_it,66667,45000,100000,CNY/kW-IT,https://www.wired.com/story/china-dives-in-on-the-worlds-first-wind-powered-undersea-data-center,C,Flexible-asset cost cases,Derived from reported CNY1.6bn and 24MW project capacity; project scope may differ from model scope
CN_UNDERSEA_DC_PUE,undersea_data_center_pue,1.15,1.08,1.25,ratio,https://www.wired.com/story/china-dives-in-on-the-worlds-first-wind-powered-undersea-data-center,C,Facility power conversion,Target/reporting claim rather than audited annual operation
BG_WIND_HOURS,deep_offshore_full_load_hours,3300,3000,3600,h/year,USER_UPLOADED_DEEP_OFFSHORE_BACKGROUND,D,Synthetic wind calibration,Must be replaced by site-correlated wind hindcast
BG_CABLE_COST,subsea_power_cable_cost_per_km_for_700mw_proxy,10,6.3,15.4,million CNY/km,USER_UPLOADED_DEEP_OFFSHORE_BACKGROUND,D,Infrastructure cost range,Original claim lacks route voltage capacity and scope definition
ENG_ELECTROLYZER,electrolyzer_integrated_offshore_capex,5500,3500,8000,CNY/kW,ENGINEERING_SCREENING,D,Flexible-asset cost cases,Requires alkaline versus PEM supplier and marine BOP quotations
ENG_H2_PIPELINE,hydrogen_pipeline_capacity_distance_capex,1500,800,3000,CNY/(kg/h-km),ENGINEERING_SCREENING,D,Endogenous hydrogen export capacity,Requires diameter pressure route compressor and landing design
ENG_BATTERY,battery_energy_capex_offshore,950,650,1400,CNY/kWh,ENGINEERING_SCREENING,D,Flexible-asset cost cases,Requires duration-specific EPC and marine safety quotation
