parameter,value_base,value_low,value_high,unit,source,source_grade,notes
wind_capacity,1000,1000,1000,MW,PROJECT_SPEC,D,Standardized project prototype
battery_round_trip_efficiency,0.85,0.80,0.90,fraction,https://atb.nrel.gov/electricity/2023/technologies/utility-scale_battery_storage,A,Use sqrt only when symmetric charge and discharge efficiencies are required
hydrogen_sec_system,57.5,52,65,kWh/kg,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/24005-clean-hydrogen-production-cost-pem-electrolyzer.pdf,A,Average system electricity use includes stack and balance of plant; do not double-count auxiliaries
data_center_pue,1.15,1.08,1.25,ratio,PROJECT_SPEC,D,Scenario range only; this is facility energy divided by IT energy and must be calibrated with offshore cooling and UPS measurements
discount_rate,0.06,0.04,0.10,fraction,PROJECT_SPEC,D,Research assumption pending financing calibration
time_step,1,1,1,h,PROJECT_SPEC,D,Core dispatch resolution
power_balance_tolerance,0.000001,0.000001,0.000001,MW,PROJECT_SPEC,D,Absolute hourly balance tolerance
tx_terminal_loss_fraction_hvdc,0.030,0.020,0.040,fraction,ENGINEERING_SCENARIO,D,Combined offshore and onshore converter loss fraction
tx_cable_full_load_loss_per_100km_hvdc,0.015,0.010,0.025,fraction/100km,ENGINEERING_SCENARIO,D,Quadratic I2R proxy at rated power
tx_terminal_loss_fraction_hvac,0.010,0.005,0.020,fraction,ENGINEERING_SCENARIO,D,Combined transformer and terminal loss fraction
tx_cable_full_load_loss_per_100km_hvac,0.030,0.015,0.050,fraction/100km,ENGINEERING_SCENARIO,D,Proxy only; reactive compensation and charging constraints excluded
tx_variable_cost,5.0,0.0,15.0,CNY/MWh-send,ENGINEERING_SCENARIO,D,Operational variable cost only
curtailment_penalty,0.0,0.0,100.0,CNY/MWh-curtailed,ENGINEERING_SCENARIO,D,Zero in merchant base case; scenario parameter for contracts or policy
unserved_critical_load_penalty,10000.0,5000.0,50000.0,CNY/MWh-unserved,ENGINEERING_SCENARIO,D,Value-of-lost-load proxy for accounting; critical load retains physical priority
battery_self_discharge_per_hour,0.00002,0.0,0.00010,fraction/h,ENGINEERING_SCENARIO,D,Hourly standing-loss proxy pending offshore thermal-management calibration
battery_soc_min,0.10,0.05,0.15,fraction,ENGINEERING_SCENARIO,D,Operational lower bound
